x1 y1 x2 y2 x3 y3 x4 y4 category difficult
206 214 917 215 916 926 205 925 BODY 0
916 832 1082 832 1082 879 916 879 PAD 0
916 668 1081 668 1081 714 916 714 PAD 0
331 924 377 924 377 1086 331 1086 PAD 0
659 925 706 925 706 1087 659 1087 PAD 0
40 746 208 746 208 793 40 793 PAD 0
41 254 211 254 211 303 41 303 PAD 0
40 665 209 665 209 713 40 713 PAD 0
661 46 709 46 709 218 661 218 PAD 0
498 46 547 46 547 216 498 216 PAD 0
580 47 627 47 627 215 580 215 PAD 0
248 924 297 924 297 1086 248 1086 PAD 0
739 925 788 925 788 1088 739 1088 PAD 0
918 504 1082 504 1082 551 918 551 PAD 0
918 340 1081 340 1081 388 918 388 PAD 0
334 45 382 45 382 216 334 216 PAD 0
41 582 209 582 209 630 41 630 PAD 0
577 926 624 926 624 1087 577 1087 PAD 0
416 48 464 48 464 214 416 214 PAD 0
42 419 208 419 208 466 42 466 PAD 0
917 750 1080 750 1080 796 917 796 PAD 0
825 49 873 49 873 216 825 216 PAD 0
744 48 791 48 791 216 744 216 PAD 0
918 422 1082 422 1082 470 918 470 PAD 0
42 501 209 501 209 549 42 549 PAD 0
41 337 209 337 209 385 41 385 PAD 0
917 586 1081 586 1081 632 917 632 PAD 0
250 46 300 46 300 215 250 215 PAD 0
919 258 1082 258 1082 307 919 307 PAD 0
39 829 208 829 208 876 39 876 PAD 0
412 925 460 925 460 1088 412 1088 PAD 0
822 927 871 927 871 1087 822 1087 PAD 0
495 924 542 924 542 1087 495 1087 PAD 0
250 45 873 45 873 218 250 218 PADGROUP 0
916 258 1082 258 1082 879 916 879 PADGROUP 0
248 924 871 924 871 1088 248 1088 PADGROUP 0
39 254 211 254 211 876 39 876 PADGROUP 0
103 585 207 586 206 627 102 626 SINGLEPIN 0
103 503 206 504 205 546 102 545 SINGLEPIN 0
102 667 205 668 204 709 101 708 SINGLEPIN 0
103 339 207 340 206 382 102 381 SINGLEPIN 0
918 506 1020 507 1019 548 917 547 SINGLEPIN 0
102 749 206 750 205 792 101 791 SINGLEPIN 0
918 588 1020 589 1019 630 917 629 SINGLEPIN 0
103 257 207 258 206 300 102 299 SINGLEPIN 0
102 422 206 421 207 463 103 464 SINGLEPIN 0
665 111 706 110 707 215 666 216 SINGLEPIN 0
919 342 1021 343 1020 385 918 384 SINGLEPIN 0
101 832 204 831 205 872 102 873 SINGLEPIN 0
917 671 1020 670 1021 711 918 712 SINGLEPIN 0
916 752 1019 751 1020 792 917 793 SINGLEPIN 0
917 834 1020 835 1019 876 916 875 SINGLEPIN 0
918 424 1021 425 1020 467 917 466 SINGLEPIN 0
254 109 296 108 297 213 255 214 SINGLEPIN 0
419 109 461 108 462 214 420 215 SINGLEPIN 0
417 925 457 926 456 1028 416 1027 SINGLEPIN 0
584 109 625 110 624 215 583 214 SINGLEPIN 0
501 110 542 109 543 214 502 215 SINGLEPIN 0
663 926 703 927 702 1030 662 1029 SINGLEPIN 0
748 110 789 111 788 216 747 215 SINGLEPIN 0
918 261 1021 260 1022 302 919 303 SINGLEPIN 0
826 926 866 925 867 1026 827 1027 SINGLEPIN 0
338 108 379 107 380 213 339 214 SINGLEPIN 0
745 926 785 927 784 1029 744 1028 SINGLEPIN 0
827 111 868 110 869 215 828 216 SINGLEPIN 0
500 925 539 926 538 1027 499 1026 SINGLEPIN 0
582 925 622 926 621 1029 581 1028 SINGLEPIN 0
254 924 295 925 294 1027 253 1026 SINGLEPIN 0
336 925 376 926 375 1028 335 1027 SINGLEPIN 0
735 744 851 745 850 858 734 857 POLARITY 0
